sec	p0	p1	p2	mag
3335954187.61	654679.1298	1751735.9412	2043.457	2.03
3335948848.41	652751.158	1751529.2326	2010.498	2.2
3335948349.42	647916.281	1751797.9606	5471.191	2.04
3335948243.34	645390.637	1755528.9985	65.918	1.78
3335947937.6	649333.7	1751449.7277	5240.479	2.48
3335947510.28	649613.0871	1750927.8989	6789.551	2.04
3335929627.55	654106.1198	1749636.7783	10876.465	2.09
3335925783.66	648950.0259	1751143.7919	8898.926	2.3
3335866100	655874.0246	1749097.9257	2020.996	2.18
3335865904.16	656827.2182	1749435.6079	1120.605	2.16
3335863201.49	646591.0603	1754683.0785	6690.674	2.33
3335862125.58	646411.6828	1754075.3527	7745.361	2.79
3335813002.6	646472.479	1753276.3416	7514.648	1.93
3335805334.39	639162.4246	1757965.5341	527.344	2.08
3335778489.68	650085.9504	1761902.7599	12788.086	2.85
3335775129.63	661544.1086	1752832.5497	-417.969	2.32
3335773987.91	656386.0093	1744304.8664	8041.992	1.64
3335689764.89	649992.3487	1749276.6016	725.098	2.65
3335655407.54	661735.5646	1744039.5972	2010.498	2.68
3335624315.38	624965.8724	1722340.2587	75780	2.04
3335550377.04	647028.8159	1752563.5523	5734.863	2.76
3335546726.67	650131.5242	1750380.3375	5866.699	1.91
3335536618.24	651641.0599	1750005.0818	1977.539	2.08
3335526349.8	644506.5941	1768671.5182	4647.217	2.31
3335368358.89	664027.065	1739672.4433	140207.52	3.09
3335227022.99	684571.2025	1743105.2223	27000	2.97
3335226772.76	656251.9015	1737301.5898	8503.418	2.63
3335225448.59	669406.347	1745660.5025	27000	3.13
3335225199.26	656308.4268	1737109.0102	8074.951	2.85
3335204845.36	656820.3478	1740062.4177	2043.457	2.24
3335203646.76	656660.2547	1739316.9805	5306.396	2.24
3335191773.29	655635.9096	1738648.024	8734.131	2.24
3335187893.47	654513.9938	1738777.9881	9360.352	2.02
3335187052.45	650186.729	1747789.3796	1977.539	2.29
3335168357.3	652654.8835	1736614.4259	14172.363	2.51
3335166254.38	657874.3081	1739160.104	5108.643	2.63
3335163439.85	657926.8922	1739518.861	8635.254	3.25
3335151361.91	645680.5134	1768955.5675	4713.135	3.02
3335149163.17	646588.1209	1767942.1474	5537.109	2.87
3335149099.33	656655.3243	1742597.5499	4416.504	2.99
3335126291.21	645335.2076	1752992.5623	329.59	1.59
3335071319.31	644654.0876	1755744.3058	2043.457	0.83
3334986032.05	650137.4982	1744370.7673	11601.562	1.85
3334959435.47	655274.3959	1761002.6835	15095.215	1.94
3334945097.95	647046.903	1750027.5834	5471.191	1.97
3334933606.29	656644.4043	1744141.2386	14172.363	1.83
3334892956.33	642598.1854	1750271.5687	6591.797	1.7
3334891816.82	648266.097	1757889.645	2847.656	1.66
3334828388.2	634799.6202	1751318.9235	5273.438	1.57
3334808453.09	644401.6775	1749898.4777	5998.535	1.43
3334749102.59	654829.5746	1740930.4586	7448.73	2.61
3334634749.29	654045.0579	1740125.4582	12161.865	2.63
3334621265.5	645278.9198	1750566.3286	2020.996	1.67
3334609537.48	645598.3467	1752167.4227	9469.727	1.73
3334561132.37	656361.1718	1745214.3337	12689.209	2.07
3334552046.79	665806.6711	1728186.7022	12023.438	1.17
3334529505.29	660063.6425	1765109.6709	7541.016	2.12
3334508023.34	639604.2195	1751338.8445	13800	2.33
3334444914.47	656271.3475	1744910.5352	12699.707	2
3334438831.79	646947.2758	1750389.8466	7230	2.63
3334407948.88	666366.9322	1725849.1804	4877.93	1.51
3334344172.56	647666.6745	1752294.0005	4230	2.28
3334341920.33	660817.0884	1740618.3744	11500	2.41
3334317933.8	645950.6757	1749137.6158	3625.488	2.21
3334315586.56	648462.4792	1752518.6552	791.016	1.74
3334314439.23	647532.8479	1748873.1996	5141.602	1.75
3334313283.59	648625.6198	1752823.0134	801.514	1.79
3334313262.22	647642.0816	1751603.082	2274.17	1.6
3334311439.54	647368.6006	1751297.8989	2504.883	2.09
3334306078.52	639802.2811	1722075.7251	84000	3.27
3334303451.59	647076.1493	1751075.2475	3141.602	1.49
3334302924.87	647221.5465	1751296.8248	2504.883	1.14
3334302633	647378.0213	1749974.7597	4086.914	1.79
3334302627.84	649020.4878	1754149.0641	98.877	1.37
3334302572.18	652523.3513	1765058.0299	6275.391	2.04
3334302387.41	647383.9902	1751711.4797	2669.678	1.74
3334225428.6	651135.5351	1761607.1051	14666.748	2.45
3334223958.82	658496.376	1748070.8199	12940	1.18
3334213134.16	658237.8635	1744896.9084	14337.158	2.73
3334197953.92	644516.9824	1756928.6412	3504.15	1.37
3334194841.77	653548.9405	1750459.7273	10524.414	1.9
3334115556.09	655112.3881	1739912.4496	2010.498	2.35
3334111888.49	644811.3288	1754312.0372	5316.895	1.55
3334098988.09	676876.574	1726254.1826	1955.078	1.59
3334092894.16	656916.7945	1739429.0729	16051.025	2.63
3334087845.14	653551.4442	1739763.6091	5537.109	2.21
3334008194.47	646813.0525	1751900.3751	9799.316	1.81
3333991164.98	652042.0183	1760759.0543	15754.395	1.83
3333943196.93	650699.0475	1753251.3119	3625.488	1.5
3333867203.87	640612.0538	1761413.5898	-10	1.9
3333845639.71	646664.4555	1752119.9195	8085.449	1.89
3333799768.04	644602.391	1744910.4185	6624.756	3.27
3333782873.55	646320.4417	1748809.4116	1911.621	2.76
3333759873.93	646630.4524	1751733.7693	9469.727	1.62
3333756487.84	646661.6678	1751792.172	8226.562	2.17
3333756483.95	646739.7446	1749281.0515	2735.596	1.65
3333750514.43	648214.7076	1753108.9717	2510	1.43
3333691780.02	657142.9003	1741222.5886	15534.18	1.72
3333649153.36	661003.3276	1738465.566	692.139	2.22
3333572130.56	645572.8001	1748004.7209	16973.877	1.91
3333565213.86	645619.745	1754317.7116	7976.074	1.8
3333548690.84	648582.9846	1753649.6962	5965.576	2.7
3333495316.63	654699.8869	1746142.8332	13605.469	1.97
3333442922.77	648291.7755	1753261.7286	13677.979	2.45
3333433566.14	642262.8662	1763803.9865	32.959	2.89
3333428899.79	650415.5774	1749196.9948	14996.338	2.85
3333413303.62	655199.3922	1740602.268	2043.457	2.26
3333408493.9	645175.2432	1753863.6244	13320	1.92
3333380475.76	655132.6969	1750050.4642	11285.156	2.6
3333374428.05	655858.3324	1743556.7778	13348.389	2.08
3333341743.95	659678.0902	1736167.9633	17116.211	1.73
3333292217.27	646159.08	1753411.9411	9986.572	2.16
3333263521.53	646785.8426	1753228.7085	6060	1.66
3333253708.91	654398.6185	1739493.8608	8480.957	1.79
3333212744.06	646404.4724	1752503.9308	8283.203	1.56
3333167651.21	663610.1072	1761999.8263	134604.492	2.5
3333129695.81	655789.898	1749582.6473	12330	1.89
3333081789.21	642780.2946	1755675.8661	6196.289	1.94
3333067748.45	647698.8229	1752828.9597	2720	1.65
3333040549.27	658058.3657	1744289.1832	12557.373	2.11
3332993231.5	649281.8438	1748417.0312	6295.166	1.71
3332979299.46	645978.4961	1752969.5162	32.959	1.36
3332974201.8	655390.5502	1755049.0216	2043.457	1.17
3332959067.04	636943.3011	1748593.311	38000	3
3332958848.4	647240.149	1751269.396	10118.408	2.79
3332955631.03	647596.1776	1750307.1286	1955.078	1.9
3332929378.11	646577.5714	1753993.7839	1252.441	1.89
3332888442.85	648537.6615	1755545.3098	8070	1.66
3332866137.31	644642.9967	1754724.3174	1351.318	1.74
3332844093.44	645950.0331	1751811.5489	692.139	2.22
3332841329.78	645366.5355	1751891.7457	2920	2.79
3332769740.18	646952.9684	1752893.7733	7162.598	1.67
3332761075.26	652177.9638	1762303.7395	14172.363	1.83
3332732429.08	632491.056	1749765.3298	74870	3.11
3332707835.89	649208.4991	1750980.2013	9074.219	1.56
3332702905.53	658782.5895	1740382.7072	13810	1.98
3332699086.7	654150.6043	1740787.8449	2669.678	2.08
3332676424.29	660010.0194	1736004.8816	9008.301	1.8
3332601142.61	648884.3862	1750040.6646	12458.496	1.51
3332462543.35	643116.0723	1754961.4803	1889.16	2.06
3332442772.55	643668.5135	1754800.0424	3932.617	1.71
3332442423.87	644498.7732	1754337.3514	5570.068	2.29
3332442124.16	643915.4201	1753671.6215	5833.74	1.96
3332423870.37	657258.2905	1748253.2326	5042.725	2.34
