sec	lat	lon	z	mag
3333649153.36	15.719365	-61.497405	692.139	2.22
3333572130.56	15.806524	-61.640809	16973.877	1.91
3333565213.86	15.863578	-61.639989	7976.074	1.8
3333548690.84	15.857365	-61.612361	5965.576	2.7
3333495316.63	15.789147	-61.555729	13605.469	1.97
3333442922.77	15.853876	-61.615104	13677.979	2.45
3333433566.14	15.94951	-61.670771	32.959	2.89
3333428899.79	15.817012	-61.595528	14996.338	2.85
3333413303.62	15.739042	-61.551422	2043.457	2.26
3333408493.9	15.8595	-61.644167	13320	1.92
3333380475.76	15.824436	-61.551438	11285.156	2.6
3333374428.05	15.765703	-61.545083	13348.389	2.08
3333341743.95	15.698685	-61.509921	17116.211	1.73
3333292217.27	15.85536	-61.635008	9986.572	2.16
3333263521.53	15.853667	-61.629167	6060	1.66
3333253708.91	15.729074	-61.558965	8480.957	1.79
3333212744.06	15.847139	-61.632772	8283.203	1.56
3333167651.21	15.931883	-61.471485	134604.492	2.5
3333129695.81	15.820167	-61.545333	12330	1.89
3333081789.21	15.876018	-61.666422	6196.289	1.94
3333067748.45	15.85	-61.620667	2720	1.65
3333040549.27	15.772184	-61.524503	12557.373	2.11
3332993231.5	15.810031	-61.60616	6295.166	1.71
3332979299.46	15.851372	-61.636721	32.959	1.36
3332974201.8	15.869595	-61.548708	2043.457	1.17
3332959067.04	15.812333	-61.721333	38000	3
3332958848.4	15.835932	-61.625045	10118.408	2.79
3332955631.03	15.827214	-61.62178	1955.078	1.9
3332929378.11	15.860594	-61.631065	1252.441	1.89
3332888442.85	15.8745	-61.612667	8070	1.66
3332866137.31	15.86731	-61.649085	1351.318	1.74
3332844093.44	15.840908	-61.637057	692.139	2.22
3332841329.78	15.841667	-61.6425	2920	2.79
3332769740.18	15.85063	-61.627627	7162.598	1.67
3332761075.26	15.93536	-61.578245	14172.363	1.83
3332732429.08	15.823167	-61.762833	74870	3.11
3332707835.89	15.833201	-61.606686	9074.219	1.56
3332702905.53	15.736833	-61.518	13810	1.98
3332699086.7	15.740784	-61.561197	2669.678	2.08
3332676424.29	15.69719	-61.506835	9008.301	1.8
3332601142.61	15.824729	-61.60977	12458.496	1.51
3332462543.35	15.869542	-61.663329	1889.16	2.06
3332442772.55	15.868051	-61.65818	3932.617	1.71
3332442423.87	15.863821	-61.650455	5570.068	2.29
3332442124.16	15.857838	-61.655942	5833.74	1.96
3332423870.37	15.80806	-61.531712	5042.725	2.34
3332389105.86	15.865562	-61.655089	2702.637	2.36
3332352529.12	15.851849	-61.66932	6690.674	2.34
3332347666.67	15.869795	-61.65801	2735.596	2.82
3332346854.6	15.870294	-61.657667	2669.678	1.82
3332342295.26	15.866551	-61.665385	2020.996	1.6
3332341960.08	15.874026	-61.665048	1295.898	1.43
3332341581.63	15.898474	-61.605764	3480.469	2.22
3332341546.74	15.868547	-61.661269	2020.996	1.05
3332341472.96	15.877522	-61.653039	1493.652	1.83
3332341402.53	15.870071	-61.612882	1977.539	1.5
3332341342.62	15.875786	-61.639825	1746.826	1.9
3332340047.72	15.872564	-61.609108	1625.488	1.37
3332339986.34	15.881167	-61.6525	2730	2.7
3332245762.75	15.727087	-61.527413	13249.512	2.38
3332227654.26	15.823727	-61.619377	5339.355	1.79
3332222320.44	15.828714	-61.611831	3757.324	2.13
3332194096.31	15.843	-61.601833	11310	1.61
3332159847.57	15.696833	-61.539	7380	1.55
3332105036.36	15.840186	-61.584044	6723.633	1.8
3331977589.1	15.863	-61.620167	12760	1.49
3331956226.19	15.846406	-61.605492	5372.314	2.41
3331923533.98	15.800833	-61.543203	14567.871	2.48
3331908107.61	15.69121	-61.496548	15754.395	1.8
3331897568.76	15.70915	-61.506836	2043.457	1.88
3331894567.26	15.843668	-61.599486	8371.582	1.79
3331890272.7	15.838187	-61.600513	922.852	1.56
3331885187.48	15.824723	-61.621436	2175.293	1.9
3331850123.87	15.845167	-61.618833	10320	2
3331842878.88	15.824985	-61.593473	7877.197	2.16
3331800080.91	15.825973	-61.612687	5965.576	1.5
3331690422.33	15.786349	-61.630676	131.836	1.24
3331592043.39	15.832948	-61.615093	8206.787	1.75
3331579426.5	15.856667	-61.617667	7000	1.9
3331512242.12	15.853667	-61.616	8630	2.2
3331483016.72	15.916667	-61.460667	25000	2.1
3331458427.79	15.841	-61.625667	7880	1.74
